count,site,yr,vegPeriod
0,site15,2016,249.9
1,site15,2013,249.9
0,site15,2011,249.9
2,site15,2009,249.9
1,site15,2002,249.9
1,site15,2014,249.9
0,site15,2017,249.9
1,site16,2017,253.105
0,site16,2006,253.105
0,site16,2014,253.105
0,site16,2000,253.105
0,site16,2002,253.105
1,site16,2004,253.105
0,site16,2005,253.105
0,site16,2016,253.105
0,site16,2013,253.105
0,site16,2007,253.105
0,site16,2015,253.105
0,site16,2003,253.105
0,site16,2011,253.105
0,site16,2008,253.105
0,site16,2009,253.105
0,site16,2012,253.105
0,site17,2013,238.41875
0,site17,2016,238.41875
6,site17,2006,238.41875
0,site17,2002,238.41875
0,site17,2001,238.41875
0,site17,2005,238.41875
1,site17,2008,238.41875
0,site17,2017,238.41875
1,site17,2011,238.41875
0,site17,2000,238.41875
0,site17,2014,238.41875
0,site17,2010,238.41875
1,site17,2012,238.41875
1,site18,2009,244.1475
1,site18,2017,244.1475
0,site18,2005,244.1475
2,site18,2003,244.1475
3,site18,2000,244.1475
1,site18,2007,244.1475
4,site18,2008,244.1475
2,site18,2002,244.1475
0,site18,2006,244.1475
0,site18,2014,244.1475
0,site18,2013,244.1475
0,site18,2010,244.1475
1,site18,2001,244.1475
2,site18,1998,244.1475
6,site18,2012,244.1475
0,site18,2015,244.1475
6,site18,2011,244.1475
1,site18,2016,244.1475
7,site19,2013,241.73625
1,site19,2009,241.73625
4,site19,2016,241.73625
2,site19,2010,241.73625
4,site19,2015,241.73625
6,site19,2008,241.73625
1,site19,2012,241.73625
2,site19,2006,241.73625
1,site19,2003,241.73625
2,site19,2005,241.73625
3,site19,2017,241.73625
7,site19,2002,241.73625
2,site19,2014,241.73625
5,site19,2011,241.73625
2,site20,2011,241.73625
5,site20,2017,241.73625
1,site20,2004,241.73625
1,site20,2006,241.73625
1,site20,2003,241.73625
0,site20,2008,241.73625
7,site20,2016,241.73625
2,site20,2015,241.73625
5,site20,2014,241.73625
0,site20,2013,241.73625
2,site20,2010,241.73625
0,site20,2002,241.73625
2,site20,2000,241.73625
2,site20,2009,241.73625
1,site20,2012,241.73625
2,site20,2005,241.73625
2,site21,2013,248.22875
5,site21,2016,248.22875
4,site21,2014,248.22875
1,site21,2007,248.22875
0,site21,2010,248.22875
1,site21,2009,248.22875
5,site21,2017,248.22875
3,site21,2011,248.22875
4,site21,2015,248.22875
0,site21,2003,248.22875
3,site21,2006,248.22875
6,site21,2001,248.22875
3,site21,2002,248.22875
5,site21,2012,248.22875
2,site21,2005,248.22875
5,site21,2008,248.22875
6,site22,2002,245.25125
8,site22,2009,245.25125
4,site22,2004,245.25125
2,site22,2015,245.25125
